what,1
were,2
the,3
that,4
was,5
on,6
where,7
why,8
how,9
is,10
are,11
of,12
one,13
should,14
could,15
would,16
has,17
have,18
then,19
had,20
been,21
be,22
shall,23
may,24
might,25
must,26
thus,27
who,28
hence,29
while,30
can,31
will,32
do,33
did,34
does,35
not,36
it,37
he,38
she,39
they,40
we,41
you,42
me,43
him,44
her,45
them,46
us,47
this,48
these,49
those,50
here,51
there,52
when,53
which,54
whose,55
whom,56
if,57
but,58
because,59
so,60
and,61
or,62
yet,63
for,64
nor,65
either,66
neither,67
each,68
every,69
some,70
any,71
all,72
both,73
few,74
several,75
many,76
much,77
little,78
no,79
none,80
other,81
another,82
such,83
same,84
different,85
various,86
certain,87
several,88
enough,89
less,90
more,91
most,92
least,93
last,94
next,95
previous,96
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
